Date,Open,High,Low,Close,Adj Close,Volume
12/11/1980,7.035073,7.110449,6.884321,6.97226,3.6125,2010900
12/12/1980,7.02251,7.2612,7.02251,7.236075,3.749187,688500
12/15/1980,7.286325,7.411952,7.286325,7.311451,3.788245,631800
12/16/1980,7.311451,7.424514,7.085323,7.198387,3.729662,1269600
12/17/1980,7.085323,7.085323,6.934572,7.072761,3.664573,1326300
12/18/1980,7.072761,7.135574,7.035073,7.035073,3.645046,1247700
12/19/1980,7.02251,7.02251,6.871759,6.896884,3.573447,1650700
12/22/1980,6.896884,6.959697,6.834071,6.947134,3.620588,1248700
12/23/1980,6.934572,6.934572,6.834071,6.859196,3.574756,433800
12/24/1980,6.909447,6.97226,6.909447,6.959697,3.627134,252700
12/26/1980,7.035073,7.2612,7.035073,7.2612,3.784265,189000
12/29/1980,7.2612,7.2612,7.060198,7.060198,3.67951,161100
12/30/1980,7.060198,7.223512,7.060198,7.223512,3.764624,312400
12/31/1980,7.236075,7.336576,7.236075,7.336576,3.823549,355200
1/2/1981,7.336576,7.336576,7.236075,7.2612,3.784265,372100
1/5/1981,7.2612,7.311451,7.21095,7.236075,3.77117,566100
1/6/1981,7.236075,7.236075,7.02251,7.085323,3.692607,1016800
1/7/1981,6.984822,6.984822,6.871759,6.922009,3.607491,1897400
1/8/1981,6.922009,6.934572,6.846633,6.859196,3.574756,594000
1/9/1981,6.859196,6.934572,6.78382,6.78382,3.535474,806900
1/12/1981,6.78382,6.846633,6.607944,6.645631,3.463454,2358100
1/13/1981,6.595381,6.595381,6.507442,6.54513,3.411077,1060600
1/14/1981,6.54513,6.620506,6.532568,6.532568,3.40453,409900
1/15/1981,6.532568,6.557693,6.49488,6.557693,3.417623,272600
1/16/1981,6.557693,6.633069,6.557693,6.607944,3.443812,212900
1/19/1981,6.607944,6.633069,6.54513,6.54513,3.411077,492500
1/20/1981,6.54513,6.633069,6.532568,6.532568,3.40453,344200
1/21/1981,6.532568,6.557693,6.457192,6.520005,3.397983,496400
1/22/1981,6.520005,6.557693,6.49488,6.532568,3.40453,514400
1/23/1981,6.532568,6.670757,6.532568,6.645631,3.463454,362100
1/26/1981,6.645631,6.645631,6.532568,6.645631,3.463454,363100
1/27/1981,6.670757,6.746132,6.670757,6.73357,3.509284,271600
1/28/1981,6.78382,6.821508,6.78382,6.796383,3.542019,188000
1/29/1981,6.78382,6.78382,6.73357,6.746132,3.51583,262600
1/30/1981,6.73357,6.73357,6.482317,6.482317,3.37834,192000
2/2/1981,6.432066,6.432066,6.319003,6.331566,3.299773,496400
2/3/1981,6.331566,6.557693,6.331566,6.557693,3.417623,557200
2/4/1981,6.557693,6.633069,6.507442,6.595381,3.437265,571100
2/5/1981,6.595381,6.834071,6.595381,6.771258,3.528928,594000
2/6/1981,6.846633,6.97226,6.846633,6.934572,3.614039,805900
2/9/1981,6.934572,6.984822,6.884321,6.896884,3.594397,198900
2/10/1981,6.896884,6.934572,6.846633,6.896884,3.594397,191000
2/11/1981,6.859196,6.859196,6.796383,6.808946,3.548568,327300
2/12/1981,6.808946,6.834071,6.721007,6.78382,3.535474,411900
2/13/1981,6.758695,6.758695,6.683319,6.721007,3.502739,423800
2/17/1981,6.721007,6.771258,6.683319,6.683319,3.483098,583000
2/18/1981,6.658194,6.658194,6.532568,6.54513,3.411077,790000
2/19/1981,6.54513,6.557693,6.30644,6.30644,3.286681,1100400
2/20/1981,6.30644,6.30644,6.080313,6.105438,3.181926,1055700
2/23/1981,6.105438,6.155689,6.080313,6.155689,3.208115,978000
2/24/1981,6.155689,6.243627,6.155689,6.155689,3.208115,361100
2/25/1981,6.155689,6.168252,5.715997,6.042625,3.149187,2333300
2/26/1981,6.042625,6.155689,6.004937,6.118001,3.188471,1966100
2/27/1981,6.193377,6.331566,6.193377,6.319003,3.293227,926300
3/2/1981,6.319003,6.457192,6.319003,6.419504,3.345605,398900
3/3/1981,6.419504,6.444629,6.218502,6.218502,3.240849,317400
3/4/1981,6.218502,6.25619,6.105438,6.105438,3.181926,1020800
3/5/1981,6.105438,6.143126,6.030063,6.030063,3.142643,1553100
